experiment,model_type,lead,mae,rmse,bias,gradient_mae
residual_unet_silu_best_50ep,baseline,all,0.32613420486450195,0.5386086702346802,0.00022195592464413494,0.17937803268432617
residual_unet_silu_best_50ep,unet,all,0.21221144497394562,0.3616664707660675,-0.010911772027611732,0.16622552275657654
residual_unet_silu_best_50ep,baseline,0,0.15827159583568573,0.24791249632835388,0.023417111486196518,0.01755320280790329
residual_unet_silu_best_50ep,unet,0,0.10278742760419846,0.17074096202850342,-0.0031978467013686895,0.015727076679468155
residual_unet_silu_best_50ep,baseline,1,0.34977710247039795,0.5629255771636963,0.002155359834432602,0.20988300442695618
residual_unet_silu_best_50ep,unet,1,0.2282027006149292,0.36980900168418884,-0.004419330973178148,0.19721734523773193
residual_unet_silu_best_50ep,baseline,2,0.3731154501438141,0.5966136455535889,0.0003065827477257699,0.21405309438705444
residual_unet_silu_best_50ep,unet,2,0.24244080483913422,0.3989718556404114,-0.007551226299256086,0.1995561718940735
residual_unet_silu_best_50ep,baseline,3,0.3690110146999359,0.5965235233306885,0.0004982472164556384,0.2055414319038391
residual_unet_silu_best_50ep,unet,3,0.2370314598083496,0.40058276057243347,-0.00973333977162838,0.19122333824634552
residual_unet_silu_best_50ep,baseline,4,0.35276636481285095,0.576863169670105,-0.0036414272617548704,0.1896805763244629
residual_unet_silu_best_50ep,unet,4,0.2215961515903473,0.3781929314136505,-0.01042165420949459,0.17509004473686218
residual_unet_silu_best_50ep,baseline,5,0.31439799070358276,0.5105160474777222,-0.005428250413388014,0.1599941849708557
residual_unet_silu_best_50ep,unet,5,0.19288763403892517,0.3320103883743286,-0.010431729257106781,0.1455792635679245
residual_unet_silu_best_50ep,baseline,6,0.29692885279655457,0.4675450921058655,-0.003208588808774948,0.1547248363494873
residual_unet_silu_best_50ep,unet,6,0.18547838926315308,0.3127380907535553,-0.010212782770395279,0.1410619616508484
residual_unet_silu_best_50ep,baseline,7,0.29187846183776855,0.45081013441085815,0.0006632755976170301,0.15879371762275696
residual_unet_silu_best_50ep,unet,7,0.1882242113351822,0.3121880888938904,-0.008817654103040695,0.14581359922885895
residual_unet_silu_best_50ep,baseline,8,0.2893003523349762,0.44428718090057373,0.004249425604939461,0.16284263134002686
residual_unet_silu_best_50ep,unet,8,0.19318552315235138,0.3180665075778961,-0.006873039528727531,0.15038689970970154
residual_unet_silu_best_50ep,baseline,9,0.2871166467666626,0.44162821769714355,0.006341887637972832,0.16376346349716187
residual_unet_silu_best_50ep,unet,9,0.19419601559638977,0.3170103430747986,-0.005593630485236645,0.15103252232074738
residual_unet_silu_best_50ep,baseline,10,0.2814626097679138,0.4368051588535309,0.00710307015106082,0.15988503396511078
residual_unet_silu_best_50ep,unet,10,0.18814194202423096,0.30690866708755493,-0.003789320820942521,0.1468660831451416
residual_unet_silu_best_50ep,baseline,11,0.2784613370895386,0.43877309560775757,0.007521706633269787,0.15636329352855682
residual_unet_silu_best_50ep,unet,11,0.18074630200862885,0.2954927086830139,-0.002561119617894292,0.14275208115577698
residual_unet_silu_best_50ep,baseline,12,0.2982195317745209,0.4787529706954956,0.007771754637360573,0.17003995180130005
residual_unet_silu_best_50ep,unet,12,0.19220176339149475,0.3157182037830353,-0.0036829139571636915,0.1557782143354416
residual_unet_silu_best_50ep,baseline,13,0.32455217838287354,0.5286281704902649,0.002005216432735324,0.1871815174818039
residual_unet_silu_best_50ep,unet,13,0.2116522490978241,0.3552962839603424,-0.006688876077532768,0.17296084761619568
residual_unet_silu_best_50ep,baseline,14,0.3350825905799866,0.5516142249107361,-0.0017525890143588185,0.1908457726240158
